frame,shoulders,hips,left,right,diagonal_left,diagonal_right
20,0.24030358,0.13305397,0.46381968,0.4731866,0.4916157,0.511158
21,0.23863155,0.13306747,0.46244568,0.4714781,0.49025482,0.5092094
22,0.23760815,0.13349462,0.46172565,0.47021624,0.48877752,0.5087459
23,0.23694387,0.13460675,0.46086764,0.46867818,0.48827857,0.5073712
24,0.23695281,0.13528845,0.4590955,0.4673875,0.4871177,0.5060056
25,0.23782475,0.1358708,0.4598308,0.46781093,0.48693496,0.50774866
26,0.23850743,0.13609436,0.45868725,0.4666026,0.48694777,0.50587225
27,0.23902154,0.13646364,0.4583598,0.46370578,0.4868519,0.5033162
28,0.23984449,0.13614321,0.45892432,0.46192947,0.48948118,0.49970484
29,0.24012108,0.13505997,0.46225184,0.46558446,0.49499074,0.50028795
30,0.24018806,0.13549668,0.46726415,0.46820882,0.4996122,0.50302315
31,0.2402106,0.13506842,0.4693819,0.4696032,0.5018035,0.503914
32,0.24053282,0.13477033,0.46816933,0.4689851,0.500608,0.50334334
33,0.24036084,0.1341613,0.46740004,0.46802184,0.49972022,0.502276
34,0.23996456,0.13351972,0.4663344,0.46783936,0.498723,0.50169355
35,0.23924533,0.1334819,0.4641422,0.46602336,0.49556798,0.50088716
36,0.23925436,0.13356836,0.46168867,0.46363285,0.49162185,0.5003328
37,0.2390307,0.1339074,0.4602359,0.46215358,0.48949346,0.49981347
38,0.23833266,0.13451405,0.45931756,0.4611482,0.4882093,0.49939728
39,0.23830558,0.13494374,0.456525,0.45858485,0.48521394,0.4975896
40,0.23878486,0.13514656,0.45412752,0.4577983,0.48276296,0.4972851
41,0.23913138,0.13532832,0.45276746,0.4569146,0.48102045,0.4971023
42,0.23946221,0.1357792,0.45360747,0.45789048,0.48195413,0.49816793
43,0.23963463,0.13636076,0.45092413,0.4561743,0.47915685,0.49718186
44,0.24015489,0.13643794,0.44996974,0.45691174,0.47881848,0.49749804
45,0.24061364,0.13657092,0.45109174,0.45956674,0.4802946,0.49971598
46,0.2411479,0.13681975,0.45211112,0.46233,0.4815106,0.5022654
47,0.24136125,0.1367729,0.45437285,0.4641634,0.48440933,0.5032435
48,0.24148443,0.13677293,0.45609093,0.46564624,0.4862263,0.5044479
49,0.24171928,0.13678215,0.45740542,0.46626273,0.48778632,0.5047723
